UserName,Class,PredClass
KeenStephanie19,1,1
Keeping0it0Cassie,1,1
Kevin6798,1,1
KirigiriGotNoodles,1,1
Koala-9008,0,0
KocurekFreeman16,1,1
Koharu_Seto,1,1
LiRo_Jason,1,1
Little_Kitty280,0,0
LizzyR255,1,1
Lokoro2021,1,1
Lupita1023,1,1
Lynxfeather305,1,1
MEFCS19,1,1
MFranco02,1,1
ML242918,1,1
MM8011263,1,1
Maggie1205,0,0
MaggieTheOOF,1,1
MsHamster0000,1,1
Music146,0,0
NICOLENINSTITUTO,1,1
NM-SC2,0,1
Neilitz,1,1
Neotriestoanimate,1,1
NickdagamerYT,1,1
Nightrage6000,1,1
Olga_Kobzeva,1,1
OliviaKlopp,0,0
OnofrioSiniscalchi,1,1
PO628261,1,1
Pinkachu-,1,0
Pip_the_Puppeteer,0,0
Pixel_paw,0,0
PrestonDMSA1,1,0
Psicopata-Chan,0,1
Psychounicorn13,0,0
Purciful512,1,1
ROFLcopter35,1,1
RUBENETTE,1,1
Rabbit_love22,0,0
Reason995,1,1
SL932512,1,1
SNaimey,1,1
SPW_JuliaW,0,1
Samenanvst,1,1
Sanstdm360,0,0
Saralyn_Y,1,1
ScratchBurnard2005,0,0
ScratchPuffs,1,0
Scratchy5028,1,1
ShakiraE1,1,1
Shaku_and_Alexis,0,1
Skippy_The_Farmer,1,1
SneakersMan,1,1
Spider-Tony190,0,0
SpiritDracon,0,0
SpringBonnie-,0,0
Suqar-Milq,0,1
TerryTRex11,0,1
TheRealZenox,1,0
TheTheoryOfTech,0,0
The_Everything,0,1
The_OwOlord,0,0
Thepattyboycameron66,0,0
TylerGF,0,1
UnbeatableGirl,0,1
Vinicius_Jimenez07,1,1
WAT12552862,0,1
WesleyD345,1,1
Wing_dedede,1,1
XXCJGAMERXX,1,0
XxVeanomxX,1,1
YV9755260,1,1
ZC3132,1,1
ZackGamer147,1,1
Zelda2828,0,1
_Astryx_,1,0
_ScarMar_,1,1
__JOEY_DREW__,1,0
alexburgos19,1,1
als616,1,1
alunniterze,0,1
alvarolr23,1,1
ameliaacanada,1,0
amethyst127,1,1
anavila2,1,1
anitag2008c,1,1
arandomscratchdude,1,1
artlab_1,0,0
ates23,1,1
atiqahfa,1,0
axsavix55555,1,1
bambi918,1,1
bamskylanderboy2,1,1
barnicleboy2828,1,1
bcr2019ehs,1,1
beatrizMastromauro,1,1
begpautor,1,1
bfbicecube5332,0,0
bricoyellow,1,1
c1710593,0,0
caisner2020,1,0
camhoops,1,1
catzrulezalwayz,0,0
caue10798,1,1
certifiedlemon,1,1
charlierowe481,1,1
chefppisthebest,1,1
chickman2020,1,0
chocolatewolfii,0,0
codeclubyelnif,1,1
colebuchanan,0,0
coolhck,1,1
cornell_02,1,1
crewsaw,1,1
cs1769940,0,0
cs1968315,0,0
cs2171187,1,1
cs2209358,1,1
cs2358465,0,0
cs2365733,0,1
cs2367786,0,0
cs2372819,1,1
cs2374255,1,1
cs2374262,0,1
cs2374318,1,0
cs2381296,1,1
cs2387898,1,1
cs2389084,1,0
cs2391252,1,1
cs2391265,1,1
cs2392333,1,1
cs2394700,0,0
cs2401571,1,1
cs2404997,1,1
cs2408135,0,0
cs2423088,1,1
cs2429820,1,1
cs2429829,1,1
cs2436392,1,1
cs2445583,1,1
cs2446832,1,1
cs2449679,0,0
cs2466060,0,1
cs2466063,0,1
cs2473164,1,1
cs2500584,0,1
cs2517524,1,1
cs2560893,1,1
cs2579149,1,1
cs2579153,0,0
cs2596862,1,1
cs2615545,0,0
cs2618006,1,1
cs2620830,1,1
cs2622260,1,1
cs2623673,1,1
cs2646581,0,0
cs2855837,1,1
cs3236771,1,1
cwkalice39623,1,1
